epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,2864.29,0.76565,0.68735,1.07112,0.74803,0.62266,0.68964,0.46819,1.17152,1.13946,1.31811,7.43511e-05,7.43511e-05,7.43511e-05
85,2889.37,0.78021,0.6943,1.07956,0.75782,0.60704,0.68162,0.4607,1.1766,1.16694,1.3241,7.02228e-05,7.02228e-05,7.02228e-05
86,2914.51,0.76168,0.68356,1.07331,0.74848,0.62531,0.68801,0.46466,1.17689,1.15637,1.32344,6.60945e-05,6.60945e-05,6.60945e-05
87,2940.67,0.74719,0.66394,1.06386,0.76007,0.61662,0.69191,0.46691,1.17011,1.146,1.32183,6.19662e-05,6.19662e-05,6.19662e-05
88,2966.03,0.75447,0.66234,1.06463,0.75134,0.6245,0.68977,0.46581,1.16766,1.152,1.31958,5.78379e-05,5.78379e-05,5.78379e-05
89,2991.41,0.75223,0.65937,1.05967,0.76434,0.60939,0.68633,0.46412,1.1678,1.14729,1.3189,5.37096e-05,5.37096e-05,5.37096e-05
90,3017.05,0.74839,0.65248,1.06075,0.76411,0.60792,0.6854,0.4645,1.16694,1.15204,1.32143,4.95813e-05,4.95813e-05,4.95813e-05
91,3076.28,0.739,0.58686,1.04201,0.74792,0.60576,0.67385,0.45052,1.19503,1.1536,1.3531,4.5453e-05,4.5453e-05,4.5453e-05
92,3100.64,0.70061,0.53776,1.01648,0.73967,0.6233,0.67839,0.45502,1.18579,1.15705,1.34212,4.13247e-05,4.13247e-05,4.13247e-05
93,3127.16,0.68801,0.51746,1.00464,0.75595,0.60767,0.68262,0.46067,1.1787,1.16048,1.33971,3.71964e-05,3.71964e-05,3.71964e-05
94,3151.71,0.69032,0.51632,1.00577,0.74672,0.62173,0.68474,0.46072,1.18022,1.15645,1.33941,3.30681e-05,3.30681e-05,3.30681e-05
95,3177.07,0.68967,0.51262,1.00777,0.75381,0.61754,0.68698,0.46284,1.17835,1.14433,1.33553,2.89398e-05,2.89398e-05,2.89398e-05
96,3202.06,0.67669,0.50693,0.99565,0.75603,0.61553,0.68575,0.46192,1.17871,1.15509,1.33794,2.48115e-05,2.48115e-05,2.48115e-05
97,3227.34,0.67947,0.50491,0.99546,0.74273,0.62959,0.68924,0.46296,1.17684,1.14511,1.33609,2.06832e-05,2.06832e-05,2.06832e-05
98,3252.88,0.66288,0.49494,0.99182,0.76,0.61346,0.68778,0.46231,1.17745,1.15168,1.33837,1.65549e-05,1.65549e-05,1.65549e-05
99,3278.45,0.66732,0.50293,1.00027,0.75419,0.62212,0.68981,0.46543,1.1704,1.14137,1.3342,1.24266e-05,1.24266e-05,1.24266e-05
100,3303.91,0.66668,0.48892,0.99698,0.7375,0.62727,0.68942,0.4653,1.1714,1.14517,1.33557,8.2983e-06,8.2983e-06,8.2983e-06
